Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,379383,33717829,2022,E-Katalog 5.0,BLUD,PT. Kimia Farma Tbk,E-Purchasing,Pengadaan Barang,Rifampicin/ Rifampisin tablet/kapsul/kaplet 600 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,3699000,3699000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,780249,35219456,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Kalsium glukonat/ Calcium gluconate inj 10%,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,686760,686760
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,2073054,37529544,2022,E-Katalog 5.0,APBD,PT BOLD TECHNOLOGIES LEADING INDONESIA,E-Purchasing,Pengadaan Barang,Ambulatory Blood Pressure Monitor,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,100000000,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1432253,31558712,2022,Pencatatan,APBD,CV.JANGKAR ALAM,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pembangunan TPT Jalan Timur Lingkar Majalengka (Jatilima) (APBD)),PAKET SELESAI,198597000,198597000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,381355,33717829,2022,E-Katalog 5.0,BLUD,NOVAPHARIN,E-Purchasing,Pengadaan Barang,Vitamin B Kompleks/ Vitamin B complex tablet,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,570000,570000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,786956,35219456,2022,E-Katalog 5.0,APBD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,"Amoksisilin/ Amoxicillin/ Amoxicillin Trihydrate tablet/kapsul/kaplet/kaptab 500 mg, kemasan strip/blister (G)",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,301500000,301500000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1836012,35382684,2022,E-Katalog 5.0,APBD,PT. Sampharindo Perdana,E-Purchasing,Pengadaan Barang,Cetirizine hydrochloride(HCl)/ Cetirizine/ Setirizin tablet/kapsul/kaplet 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,490000,490000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1451116,35148197,2022,E-Katalog 5.0,APBD,PT. COBRA DENTAL INDONESIA,E-Purchasing,Pengadaan Barang,EDENTA Bur Diamond Set RA,PROSES KONTRAK PPK,556000,0
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,903934,34907363,2022,E-Katalog 5.0,APBD,PT. RAJAWALI NUSINDO,E-Purchasing,Pengadaan Barang,CATGUT CHROM 2/0 HR 37 MM Absorbable Surgical Suture,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,7758300,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1361234,34612806,2022,E-Katalog 5.0,APBD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,DISPOSABLE SYRINGE WITHE NEEDLE 20 ML,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,546300,546300
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1926253,37683568,2022,Pencatatan,APBDP,PT. BUMI MAJALENGKA PERMAI,Pengadaan Langsung,Jasa Lainnya,Perjalanan Dinas Paket Meeting Dalam Kota Kesehatan Ibu Bersalin,PAKET SELESAI,56700000,56700000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1348909,35440151,2022,E-Katalog 5.0,APBD,MOFTECH MEDICAL SYSTEM,E-Purchasing,Pengadaan Barang,"Halsted-Mosquito Artery Forceps 12,5 cm straight",PROSES KONTRAK PPK,1044300,1044300
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1816253,37696111,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten ( Pemeliharaan Jalan Munjul - Cikamarang (APBD P)),PAKET SELESAI,199240000,199240000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1541341,34612679,2022,E-Katalog 5.0,APBD,PT Otsuka Indonesia,E-Purchasing,Pengadaan Barang,"Magnesium sulfate/ Magnesium sulfate heptahydrate/ Magnesium sulfat injeksi 40%v (i.v.), @ 25mL -1",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,981600,981600
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1404253,34094190,2022,Pencatatan,APBD,CV SINARKARTIKA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199898000,199898000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1342712,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Ciprofloxacin hydrochloride(HCl)/ Ciprofloxacin Lactate/ Ciprofloxacin/ Siprofloksasin inf 2 mg/ml,PROSES KONTRAK PPK,2204400,2204400
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1629253,37695838,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Kertasari - Sukamulya (APBD P)),PAKET SELESAI,199260000,199260000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1098253,35072717,2022,Pencatatan,APBD,CV SURYA PUTRA MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199930000,199930000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1369240,34612806,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Waterone 5 liter,PROSES KONTRAK PPK,6776000,6776000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1482253,31890249,2022,Pencatatan,APBD,CV. MULYA UTAMA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Hegarmanah - Genteng (APBD)),PAKET SELESAI,199250000,199250000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1038253,34764545,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jembatan pada Jalan Kabupaten (Rehabilitasi Jembatan Gorolong (DAU)),PAKET SELESAI,198384000,198384000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1937253,38630829,2022,Pencatatan,APBDP,PT. BUMI MAJALENGKA PERMAI,Pengadaan Langsung,Jasa Lainnya,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,PAKET SELESAI,78548000,78548000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1538010,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Ketokonazol/ Ketoconazole krim 2%,PROSES KONTRAK PPK,281880,281880
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1323253,34712366,2022,Pencatatan,APBD,CV MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,37900000,37900000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1604395,36711442,2022,E-Katalog 5.0,APBD,PT. RAJAWALI NUSINDO,E-Purchasing,Pengadaan Barang,Humasens 2.0 Humasens 2.0 Plus Humasens HumaSensPlus Glucose Test Strips Blue,PROSES KONTRAK PPK,760000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,958502,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Norepinephrine bitartate/ Norepinephrine bitartate monohydrate / Norepinephrine/ Norepinephrine base/ Norepinefrin inj 1 mg/ml,PROSES KONTRAK PPK,1799700,1799700
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,994802,35359824,2022,E-Katalog 5.0,APBD,PT. SANI TIARA PRIMA,E-Purchasing,Pengadaan Barang,SANI Foldway Strechtcher 4 Fold,PROSES KONTRAK PPK,2617300,2617300
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1894253,34078036,2022,Pencatatan,APBD,CV. Tiga Putri,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAKET SELESAI,862650,0
