Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,01JZS1Z89QRX6GBW05P1JB29GK,58289471,2025,E-Katalog 6.0,APBD,FINGER TECHNOLOGY,E-Purchasing,Barang,Belanja Modal Peralatan Studio Video dan Film,ON PROCESS,19980000,19980000
KAB. MAJALENGKA,BADAN KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,01JW7ZMWMK58T383W799DS6S6R,58718040,2025,E-Katalog 6.0,APBD,PRATAMA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAYMENT OUTSIDE SYSTEM,2325000,2325000
KAB. MAJALENGKA,PUSKESMAS LEMAHSUGIH - 1.02.0.00.0.00.01.0016,01JTHKRK9T0V0PVSPM2T92W9B3,55854350,2025,E-Katalog 6.0,APBD,IRMA DEWI,E-Purchasing,Barang,Belanja Barang dan Jasa BOK Puskesmas,ON PROCESS,542500,542500
KAB. MAJALENGKA,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.01.0000,01JZHZDZNYYZQE4WP7C62X7VYW,59861720,2025,E-Katalog 6.0,APBD,CIFAS,E-Purchasing,Barang,Belanja Natura dan Pakan-Natura,PAYMENT OUTSIDE SYSTEM,4703070,4703070
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,12050198,54602436,2025,E-Katalog 5.0,BLUD,PT.Bernofarm,E-Purchasing,Pengadaan Barang,Ondansetron hydrochloride (HCl)/ Ondansetron HCl dihydrate /Ondansetron inj 2 mg/mL,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1140000,1140000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,11760060,54602436,2025,E-Katalog 5.0,BLUD,PT.Bernofarm,E-Purchasing,Pengadaan Barang,Ranitidine hydrochloride (HCl)/Ranitidin tablet/kapsul/kaplet 150 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2650000,2650000
KAB. MAJALENGKA,PUSKESMAS BALIDA - 1.02.0.00.0.00.01.0027,11694947,56130723,2025,E-Katalog 5.0,BLUD,kenara pelita raya,E-Purchasing,Pengadaan Barang,Map Snelhekter,PAKET SELESAI,1334000,1334000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01K992ESFZG114FR7R9V3VJ7A1,61276066,2025,E-Katalog 6.0,APBD,NASA RAYA,E-Purchasing,Barang,Belanja Peralatan dan Mesin-Komputer-Komputer Unit-Komputer Unit Lainnya,ON PROCESS,8491500,8491500
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10632390000,61832324,2025,Non Tender,APBDP,CV. Rizky Nugraha,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat (Pemeliharaan Jalan Kumbung - Teja),SELESAI,299067263,299067263
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,11995400,55197371,2025,E-Katalog 5.0,APBD,CV. MAJU BERSAMA 94,E-Purchasing,Pengadaan Barang,Galian Biasa,PROSES KONTRAK PPK,7501500,7501500
